Townships,Population 2010
Abington,55310
Ambler,6417
Bridgeport,4554
Bryn Athyn,1375
Cheltenham,36793
Collegeville,5089
Conshohocken,7833
Douglass,10195
East Greenville,2951
East Norriton,13590
Franconia,13064
Green Lane,508
Hatboro,7360
Hatfield,20539
Horsham,26147
Jenkintown,4422
Lansdale,16269
Limerick,18074
Lower Frederick,4840
Lower Gwynedd,11405
Lower Merion,57825
Lower Moreland,12982
Lower Pottsgrove,12059
Lower Providence,25436
Lower Salford,14959
Marlborough,3178
Montgomery,24790
Narberth,4282
New Hanover,10939
Norristown,34324
North Wales,3229
Pennsburg,3843
Perkiomen,9139
Plymouth,16525
Pottstown,22377
Red Hill,2383
Rockledge,2543
Royersford,4752
Salford,2504
Schwenksville,1385
Skippack,13715
Souderton,6618
Springfield,19418
Telford,2665
Towamencin,17578
Trappe,3509
Upper Dublin,25569
Upper Frederick,3523
Upper Gwynedd,15552
Upper Hanover,6464
Upper Merion,28395
Upper Moreland,24015
Upper Pottsgrove,5315
Upper Providence,21219
Upper Salford,3299
West Conshohocken,1320
West Norriton,15663
West Pottsgrove,3874
Whitemarsh,17349
Whitpain,18875
Worcester,9750
